neuron_a_id, neuron_b_id, neuron_c_id, type
18286772252,11528,12288,SC
18286772252,11528,30734,SC
18286772252,11528,12305,SC
18286772252,11528,22545,SC
18286772252,11528,100369,SC
18286772252,11528,16412,SC
18286772252,11528,49195,SC
18286772252,11528,30768,SC
18286772252,11528,24624,SC
18286772252,11528,12346,SC
18286772252,18707,14761,BR
18286772252,12581,46372,BR
18286772252,12581,14761,BR
18286772252,12334,14761,BR
18286772252,14382,14761,BR
18286772252,12079,14761,BR
18286772252,11567,14761,BR
18286772252,31545,14761,BR
18286772252,20742017359,14761,BR
18286772252,17752,14761,BR
18286772252,11528,12292,VC
18286772252,11528,10249,VC
18286772252,11528,26633,VC
18286772252,11528,22540,VC
18286772252,11528,12299,VC
18286772252,11528,69651,VC
18286772252,11528,14361,VC
18286772252,11528,32796,VC
18286772252,11528,12332,VC
18286772252,11528,12333,VC
18286772252,14761,26633,VD
18286772252,14761,30734,VD
18286772252,14761,18456,VD
18286772252,14761,16412,VD
18286772252,14761,18479,VD
18286772252,14761,10288,VD
18286772252,14761,10295,VD
18286772252,14761,12350,VD
18286772252,14761,24645,VD
18286772252,14761,100428,VD
18286772252,11528,12307,FL
18286772252,11528,11801,FL
18286772252,11528,11805,FL
18286772252,11528,12334,FL
18286772252,11528,15924,FL
18286772252,11528,22101,FL
18286772252,11528,21094,FL
18286772252,11528,25706,FL
18286772252,11528,23667,FL
18286772252,11528,12413,FL
18286772252,11841,11883,CR
18286772252,12744,43830,CR
18286772252,12744,11834,CR
18286772252,12744,11883,CR
18286772252,12744,12030,CR
18286772252,11883,11841,CR
18286772252,11883,12744,CR
18286772252,11883,12030,CR
18286772252,11883,43830,CR
18286772252,11883,11834,CR
