neuron_a_id, neuron_b_id, neuron_c_id, type
131072,109440,52999,SC
131072,109440,85005,SC
131072,109440,10766,SC
131072,109440,65551,SC
131072,109440,31127,SC
131072,109440,11551,SC
131072,109440,41122,SC
131072,109440,10403,SC
131072,109440,122928,SC
131072,109440,90292,SC
131072,39684,21124,BR
131072,17806,74433,BR
131072,17806,148870,BR
131072,17806,10072,BR
131072,18319,86977,BR
131072,18319,21124,BR
131072,30484,21124,BR
131072,30484,24455,BR
131072,30484,24351,BR
131072,30484,74433,BR
131072,109440,24967,VC
131072,109440,23304,VC
131072,109440,66192,VC
131072,109440,23955,VC
131072,109440,60311,VC
131072,109440,104984,VC
131072,109440,43292,VC
131072,109440,45724,VC
131072,109440,117407,VC
131072,109440,24097,VC
131072,30851,140291,VD
131072,30851,138244,VD
131072,30851,20483,VD
131072,30851,164868,VD
131072,30851,39432,VD
131072,30851,123403,VD
131072,30851,133649,VD
131072,30851,108562,VD
131072,30851,104984,VD
131072,30851,104476,VD
131072,109440,91108,FL
131072,109440,10312,FL
131072,109440,124904,FL
131072,109440,129007,FL
131072,109440,94578,FL
131072,109440,117629,FL
131072,39684,117629,FL
131072,39684,70995,FL
131072,39684,105716,FL
131072,39684,86294,FL
131072,99969,41478,CR
131072,41478,99969,CR
131072,41478,55357,CR
131072,63085,81938,CR
131072,63085,67004,CR
131072,63085,87037,CR
131072,63085,159351,CR
131072,87037,81938,CR
131072,87037,55357,CR
131072,87037,63085,CR
