neuron_id,in_degree,out_degree
720575941350274352,65,64
720575941399414563,139,6
720575941409918831,41,13
720575941425044820,23,4
720575941434753568,181,6
720575941438392364,144,76
720575941450561358,188,5
720575941454878003,50,30
720575941474499377,216,6
720575941474519326,244,6
720575941478731683,197,2
720575941480138976,305,7
720575941481960131,168,93
720575941482015171,252,99
720575941490647527,16,12
720575941491293415,214,5
720575941496126793,23,0
720575941500951383,56,54
720575941504396567,166,3
720575941505092517,25,14
720575941505568069,133,12
720575941505580066,234,4
720575941507431297,50,16
720575941511197516,93,1
720575941511491148,227,207
720575941512525123,79,26
720575941515995052,105,28
720575941521271475,196,10
720575941525779789,109,33
720575941527948932,152,3
720575941531180261,274,10
720575941533604122,99,32
720575941533791514,26,6
720575941536318869,144,57
720575941540726045,95,25
720575941542830877,143,93
720575941544272489,25,3
720575941547377725,118,29
720575941547393825,233,4
720575941549951549,164,128
720575941551010695,126,2
720575941556327588,111,70
720575941561359917,132,39
720575941561428013,176,94
720575941562150568,174,2
720575941565315638,199,3
720575941565380910,106,86
720575941578439513,156,4
720575941579753849,161,6
720575941580731001,96,2
720575941585484766,255,11
720575941592225831,254,5
720575941594091397,192,5
720575941595764636,56,16
720575941597315484,34,9
720575941610608604,231,3
720575941617887103,220,7
720575941623218172,176,2
720575941629906924,8,5
720575941636735861,198,5
720575941642372040,240,74
720575941656372304,172,3
720575941667647219,209,182
720575941667762097,219,4
720575941731736875,39,32
720575941350334256,39,56
720575941393722006,105,40
720575941405813295,34,39
720575941408568750,419,781
720575941411344043,157,55
720575941439563583,307,251
720575941441993167,194,185
720575941450532174,284,216
720575941450620494,48,88
720575941450756167,49,52
720575941457707167,151,171
720575941461393296,64,47
720575941471266912,68,24
720575941472078122,62,50
720575941475702890,97,39
720575941476555329,45,60
720575941481041231,47,35
720575941487877328,102,57
720575941494994558,128,42
720575941497014946,64,46
720575941508609665,472,791
720575941511599314,162,408
720575941513720979,43,43
720575941526870628,211,197
720575941529775307,43,25
720575941531577829,67,38
720575941535047690,140,100
720575941535931658,82,28
720575941536281586,21,18
720575941540256205,31,81
720575941542462300,128,43
720575941542469212,206,182
720575941547184957,41,30
720575941547337140,41,45
720575941551514174,49,18
720575941552477697,71,35
720575941553395098,177,63
720575941553520211,36,35
720575941554952858,300,270
720575941556189924,126,113
720575941564134242,29,48
720575941565393927,165,68
720575941568708398,163,406
720575941569365242,625,214
720575941573970831,40,38
720575941579780597,217,386
720575941583186566,39,38
720575941592598309,74,36
720575941593486806,29,41
720575941593522283,217,356
720575941601223158,48,32
720575941619873407,337,493
720575941633520059,140,125
720575941637686389,92,32
720575941658641176,12,23
720575941662508600,90,56
720575941670676135,277,190
720575941350352176,76,33
720575941413837084,172,45
720575941442381738,170,4
720575941443907754,144,2
720575941453978861,28,21
720575941455535923,184,246
720575941458399699,119,76
720575941485452685,57,14
720575941492391294,116,85
720575941512450371,233,61
720575941518467507,33,12
720575941521073591,321,244
720575941524119117,35,21
720575941524179787,232,257
720575941533986136,214,54
720575941536268786,57,15
720575941542417500,127,0
720575941551385371,346,162
720575941552374273,121,105
720575941552589447,30,41
720575941555462995,237,134
720575941558995950,107,0
720575941568553330,357,10
720575941568841204,118,92
720575941572103433,20,35
720575941574248187,154,153
720575941576683624,125,150
720575941595151237,248,6
720575941604984173,263,193
720575941625147244,48,15
720575941639365749,349,562
720575941649246741,257,211
720575941679008445,124,88
720575941687653238,299,12
720575941350354224,56,31
720575941412323473,69,11
720575941436973586,37,26
720575941450876794,127,121
720575941463704077,87,142
720575941471203447,61,6
720575941474786625,51,10
720575941475766122,33,39
720575941495131079,23,15
720575941495965895,98,53
720575941498915401,156,1
720575941504039618,67,28
720575941516100954,64,95
720575941524280857,50,49
720575941526892198,25,34
720575941535409178,217,1
